,seriesCode,sdg,2020,2021,2022,2023,2024,seriesName,bestBound,worstBound,instrumental,invert,color
48,gci44_RndAcademic,44,0.119236212,0.238472425,0.357708637,0.476944849,0.596181062,Academic institutions carry out cybersecurity-related R&D activities ,0.715417274,0,1,0,#0A97D9
49,gci44_Evalscheme,44,0.106187721,0.212375442,0.318563164,0.424750885,0.530938606,"Programs/initiatives conducted for evaluating the cybersecurity of ICT products, such as labelling or certification schemes ",0.637126327,0,1,0,#0A97D9
50,gci45_Dindustry,45,0.248276379,0.496552758,0.744829137,0.993105515,1.241381894,Domestic cybersecurity industry,1.489658273,0,1,0,#56C02B
51,gci45_Dassociation,45,0.239465557,0.478931113,0.71839667,0.957862227,1.197327783,Organizations or associations which promote the development of your country’s cybersecurity industry ,1.43679334,0,1,0,#56C02B
52,gci46_Icapacitydev,46,0.153272702,0.306545404,0.459818106,0.613090808,0.76636351,Government incentive mechanisms in place to encourage capacity development in the field of cybersecurity ,0.919636212,0,1,0,#1BA1E2
53,gci46_Iindustry,46,0.141746375,0.283492751,0.425239126,0.566985501,0.708731877,Government incentive mechanisms in place for the development or further development of the cybersecurity industry ,0.850478252,0,1,0,#1BA1E2
54,gci46_Irnd,46,0.130357267,0.260714533,0.3910718,0.521429067,0.651786333,Government incentive mechanisms within your country to encourage cybersecurity-related R&D activities ,0.7821436,0,1,0,#1BA1E2
55,gci51_Bcountry,51,0.376277816,0.752555632,1.128833448,1.505111264,1.88138908,Bilateral cybersecurity agreement(s) with other countries ,2.257666896,0,1,0,#A4C400
56,gci51_Bregintl,51,0.307345771,0.614691542,0.922037313,1.229383084,1.536728855,Cybersecurity agreement(s) with international and regional organizations ,1.844074626,0,1,0,#A4C400
57,gci52_Minfosharing,52,0.322081233,0.644162466,0.966243699,1.288324931,1.610406164,Part of a multilateral cybersecurity agreement that includes cybersecurity information sharing ,1.932487397,0,1,0,#F472D0
58,gci52_Mcapacitydev,52,0.343719765,0.687439531,1.031159296,1.374879061,1.718598827,Part of a multilateral cybersecurity agreement that includes capacity development sharing ,2.062318592,0,1,0,#F472D0
59,gci53_Mlat,53,0.505397698,1.010795397,1.516193095,2.021590793,2.526988492,Participate in Mutual Legal Assistance Treaties (MLATs) on cybersecurity either through bilateral or multilateral agreement(s) with other countries or regional or intergovernmental organizations,3.03238619,0,0,0,#FA6800
60,gci54_PPPdomestic,54,0.569354579,1.138709158,1.708063737,2.277418316,2.846772895,Participate in PPPs on cybersecurity with domestic companies ,3.416127474,0,1,0,#6D8764
61,gci54_PPPforeign,54,0.384110027,0.768220054,1.152330081,1.536440108,1.920550135,Participate in PPPs on cybersecurity with foreign companies in your country ,2.304660162,0,1,0,#6D8764
62,gci55_Coordination,55,0.525766371,1.051532743,1.577299114,2.103065485,2.628831857,Specific inter-agency coordination processes on cybersecurity among different national governmental bodies ,3.154598228,0,1,0,#76608A
